,UserName,Review,Score,Date,Bank
41,Tiny Particles,The app is easy to navigate and optimise for people of all ages.,5,2024-02-25 07:24:03,GXS Bank
19,HetTienDownGameBanQuyen,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",1,2024-02-24 06:12:02,GXS Bank
66,Nrhdxtan,Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,1,2024-02-21 14:03:59,GXS Bank
30,OnTheRoad9988,This app is easy to use.,5,2024-02-10 03:22:39,GXS Bank
81,princesstazsdff,"When you asked your staff to write a 5* review, don’t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?",1,2024-01-18 08:45:46,GXS Bank
117,CodyFido69,Is this really an authentic app for GXS? Looks cheap.,3,2024-01-15 14:04:23,GXS Bank
10,Morrrrraaaa,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",5,2024-01-11 08:48:28,GXS Bank
94,???/:;()$,Good to use,5,2024-01-01 09:24:31,GXS Bank
54,aezjnn,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",1,2023-12-23 08:46:14,GXS Bank
58,RyanYang,Friendly use apps,5,2023-12-11 17:42:41,GXS Bank
88,C Stephen,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor.",5,2023-12-10 04:26:02,GXS Bank
67,sgchacha,Guys u guy to try this out,5,2023-12-09 04:06:51,GXS Bank
111,Agilah07,save ur money and grow,5,2023-12-07 13:07:57,GXS Bank
17,Adrian Tay wee Chong,"Wish more people can download and use, and more rewards can be given.",5,2023-12-07 07:21:02,GXS Bank
21,ChefDugi,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),5,2023-12-06 09:00:01,GXS Bank
32,GW1188,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,5,2023-12-06 08:45:43,GXS Bank
102,Ahmad Firdaus Bin Kasim,Nice And Fast Bank,5,2023-12-06 08:35:24,GXS Bank
45,mdyyeo,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum",5,2023-12-06 08:35:07,GXS Bank
112,Cccc.S,Good to use,5,2023-12-06 04:22:42,GXS Bank
75,Roundi07,Gxs provide good interest for their pocket savings.,5,2023-12-06 03:56:06,GXS Bank
60,Sanadece,This is very good. Really very helpful. I Will keep in touch with them. :OK_hand_medium_skin_tone::smiling_face_with_heart-eyes:,5,2023-12-03 15:49:37,GXS Bank
92,hackjf,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky",5,2023-11-25 12:17:15,GXS Bank
93,Tehweileong,When I sign up can’t sign up always say oops something went wrong please try again,1,2023-11-23 09:53:53,GXS Bank
8,caseysam_home,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,5,2023-11-21 09:22:11,GXS Bank
28,Bone Zaw,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,5,2023-11-21 07:13:17,GXS Bank
61,calvin7878,Such a great service compared to Bank,5,2023-11-20 08:16:12,GXS Bank
33,hdmsgekd,Best digital bank in my opinion I prefer this over its competitors:),5,2023-11-18 08:52:03,GXS Bank
14,MikeEkimC,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!",5,2023-11-16 19:29:12,GXS Bank
73,Uouebs,"I cannot open the app at all, even after updates it keeps telling something went wrong.",1,2023-11-15 11:32:12,GXS Bank
42,2BitBob,"Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",5,2023-11-15 06:52:28,GXS Bank
23,Berriesindulge,"Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!",5,2023-11-15 02:39:34,GXS Bank
20,jimmihua,Can try for saving money !! My money said they liked there,5,2023-11-11 07:18:42,GXS Bank
89,Don’tdownloadthisappl,Keep creating account to write fake 5 star reviews when your app is so buggy and processing time is so slow. Worst banking app ever!,1,2023-11-10 15:26:02,GXS Bank
65,rcpsgp,You get the highest saving interest rate on the market,5,2023-11-10 14:32:16,GXS Bank
55,Eng Kok Ong,Simple and easy,5,2023-11-10 11:37:30,GXS Bank
100,Dan heath,Good app,4,2023-11-10 06:48:41,GXS Bank
70,Thirteen Wishes Come True,Loan disbursement was immediate. App is simple to use. Repayments just as easy.,5,2023-11-02 13:47:28,GXS Bank
116,dominiThree,"useless app.  unable to join or open account,
app is not open to all in sg",1,2023-11-02 06:38:15,GXS Bank
71,Amero bai,Best and fast loan approval,5,2023-10-08 10:35:35,GXS Bank
76,elylj,DO NOT USE THIS APP!!!! So frustrating on this app. 3 times I tried to move a small portion of money out of my pocket. 3 times the pocket becomes $0 straight away and I can’t move/transfer my money out!!!!!!!!!!!!!,1,2023-09-25 13:13:58,GXS Bank
22,derr derrick,Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,5,2023-09-25 01:04:27,GXS Bank
74,Elijahdptty,increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,1,2023-09-19 01:56:43,GXS Bank
7,stylex7,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???",1,2023-09-13 15:30:05,GXS Bank
18,gejeoqwo,Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,1,2023-09-12 05:10:29,GXS Bank
2,Zzzsosian,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.",1,2023-09-09 08:33:43,GXS Bank
11,KiloBites,"My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.",1,2023-08-22 10:22:46,GXS Bank
68,WeeJX,"Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated.",2,2023-08-14 04:56:05,GXS Bank
46,Azubu Frost,"It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",1,2023-08-13 12:05:53,GXS Bank
40,Ahfei94,It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,3,2023-08-11 11:02:39,GXS Bank
91,NethT,"Reduced interest from 3.48 to 2.68% in less than a month, kenna baited to start an account here. Have removed all my funds and closed my account.",1,2023-08-08 06:46:48,GXS Bank
113,Fancilivain,Lack the basic function to save a payee,1,2023-08-07 13:41:20,GXS Bank
118,can't playback,first bank to reduce interest rates for savings but interest rates for loans stay high,1,2023-08-07 10:44:08,GXS Bank
57,flirtyfrog,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,1,2023-08-07 08:36:43,GXS Bank
77,Iamvishalg,Gave an application to open account but the bank decided to cancel opening new accounts and the “bank” didnt even bother to inform clients! May be its a gods sign to save my money.,1,2023-07-27 17:29:44,GXS Bank
90,xinbailu,"Useless, lacks features and does not provide any improvement from traditional banks available in Singapore",1,2023-07-27 05:20:02,GXS Bank
37,sheerliyn,"Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!",1,2023-07-25 14:17:22,GXS Bank
109,Jlydj,Unable to sign in to account,1,2023-07-24 09:21:23,GXS Bank
125,Apple1234567,"I was trying to make payment using Paynow Qr code using scan and pay. Merchant create a dynamic QR code of payment $15.7 but the GXS app scan and pay read in as $15.07
Pls advice to correct the mistake as it make me and merchant very inconvenience.",1,2023-07-24 03:31:10,GXS Bank
83,Chenpangdoon,"Pls improve your good service for any person who are really need it,hope the app can improve soon",1,2023-07-22 08:18:56,GXS Bank
72,WuMing9,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!:thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down:",1,2023-07-21 23:56:46,GXS Bank
127,Gagshwhsb,"21 Jul 23:
The integration on iPad is off. The first time login requires SingPass as a safety feature but it doesn’t generate a QR Code. Devs should consider a workaround. 

Pending dev feedback before rating change.",1,2023-07-20 23:27:11,GXS Bank
51,gniynew,"Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy",1,2023-07-19 06:05:49,GXS Bank
122,shien 181.00,Only for PR and SP,1,2023-07-18 03:44:25,GXS Bank
3,kenny.ng.kn,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app, re-logging in with SingPass) still don’t work.",2,2023-06-27 04:01:39,GXS Bank
43,SgPlayboy,Try it and you will love it.,5,2023-06-11 00:50:35,GXS Bank
35,Ta Fan Su,Very convenient and easy to understand and use,5,2023-06-06 02:44:38,GXS Bank
59,nigelphang,Very friendly app,5,2023-06-05 15:00:50,GXS Bank
12,Colddogbun,"App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",5,2023-06-05 15:00:14,GXS Bank
63,jesuafreak,Makes banking easy to use,5,2023-06-05 11:50:22,GXS Bank
47,Dtthian,Easy to use and log in! Very clean instruction.,5,2023-06-05 11:34:48,GXS Bank
34,Tyc Tan,"Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",5,2023-06-05 11:16:31,GXS Bank
119,代码农夫,Love the app,5,2023-06-05 10:57:26,GXS Bank
62,Hayley Young,Easy to use with high interest rate,5,2023-06-05 10:26:09,GXS Bank
48,Reviewer3868329,"Simple, straightforward to use with no bugs. Great experience",5,2023-06-05 10:23:48,GXS Bank
95,Sam Lu Hao,Great plat form … easy to use and hassle free.,5,2023-06-05 10:21:00,GXS Bank
44,w00t87,"The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",5,2023-06-05 10:16:52,GXS Bank
50,marfislam,"Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",5,2023-05-30 13:19:00,GXS Bank
87,Sandintheair,Sent me texts and email to tell me I am selected for flexi loan . But non is approved . Said borrow from $200 and above but can’t even borrow $200 :face_with_tears_of_joy: rejected all of my friend and family members . So who can borrow ? Millionaire ?,1,2023-05-24 13:59:56,GXS Bank
110,Yann85@,Can’t login after applying?????????,3,2023-05-04 09:39:02,GXS Bank
78,Andreani369,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing.",1,2023-05-02 10:56:52,GXS Bank
5,Mech20101,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)",1,2023-04-23 14:54:16,GXS Bank
80,AribNasikur,could you add a way to sign in using singpass password instead of only having to use the app?,4,2023-02-11 06:45:17,GXS Bank
69,Jyotkumar Patel,This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,1,2023-01-24 15:24:38,GXS Bank
105,Shariff666,"What if I urgently need access to my money? This is not the way to go.
:face_with_symbols_on_mouth:",1,2023-01-24 13:43:09,GXS Bank
107,JosephThia,"Access to funds blocked, no transparency apart from it being a recognized technical issue, no ETA and no communications from Grab or Singtel.",1,2023-01-20 05:03:23,GXS Bank
39,desiphone,Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,2,2023-01-20 04:35:32,GXS Bank
4,@alexfonghere,"Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)",5,2023-01-05 07:08:13,GXS Bank
115,MegaDumpling99,Great features! Love it!,5,2022-12-30 00:52:29,GXS Bank
101,018871,Did an intern write that script? Nice.,5,2022-12-28 14:59:22,GXS Bank
53,Dian1117,"Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable :disappointed_face:",3,2022-12-23 04:53:44,GXS Bank
16,CHau200,"The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",5,2022-12-16 02:50:05,GXS Bank
82,Joshua David Ang,"Love the modern design, user experience was great as well.",5,2022-12-14 09:36:34,GXS Bank
52,lynxddd,Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,5,2022-12-10 13:18:37,GXS Bank
6,2108🎉🎊🎉,"Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app",5,2022-12-10 11:32:55,GXS Bank
106,Chenny Chen Chen,Deleted the app. Sick of it serving no other purpose currently than being a lead generator.,1,2022-12-09 06:35:51,GXS Bank
26,tloh001,My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,5,2022-12-09 03:47:29,GXS Bank
86,raradonut,Great UI and user-friendly,5,2022-12-09 01:34:39,GXS Bank
24,Koko Dhanesh,J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),5,2022-12-07 12:19:51,GXS Bank
108,Snsnbsskn,"app is really easy to navigate, user-friendly",5,2022-12-07 07:51:10,GXS Bank
25,honey_dijon,the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential :thumbs_up_medium-light_skin_tone:,5,2022-12-07 06:31:42,GXS Bank
56,Fabianryr,Intuitive and easy to set up,5,2022-12-07 06:14:34,GXS Bank
0,Dfdsa132,"A bank like no other, no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see :dollar_banknote: coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I can’t wait to see more of it.",5,2022-11-09 03:13:16,GXS Bank
13,Peacemoon,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,5,2022-10-31 05:18:02,GXS Bank
79,cjred,"Not prepared? Then don’t launch. See your direct competitor got a pure breeze of experience. Onboarding was swift and fast. Just think the reviews here are just made by the staff lol, focusing on UI/UX what a joke. Best UI/UX where others cannot experience YET.",1,2022-10-09 03:24:14,GXS Bank
15,Mani-singiri,"I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.",5,2022-10-06 02:05:55,GXS Bank
29,♪ r.,No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,5,2022-10-04 13:02:31,GXS Bank
98,sujmat2,Good interest rate on pockets and great user experience.,5,2022-10-03 07:18:03,GXS Bank
49,George Tanasaki,"Really like the details in the app, will definitely use it daily!",5,2022-10-03 06:17:01,GXS Bank
99,LCY2804,Love the savings pockets and daily interest!,5,2022-10-03 05:34:14,GXS Bank
85,ShannonPerryIgnatius,A whole new era of banking. Go GXS or go home! :flexed_biceps_medium-light_skin_tone:,5,2022-10-03 04:57:18,GXS Bank
1,Mephosis,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!",5,2022-10-02 04:17:49,GXS Bank
104,nosalucard,"Awesome, easy n fun to use! :smiling_face_with_smiling_eyes:",5,2022-09-22 02:01:38,GXS Bank
36,The Average Saver,"Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing :person_facepalming_light_skin_tone:

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch",1,2022-09-16 07:19:33,GXS Bank
38,adayinthelifeofbulaylay,"Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",5,2022-09-12 05:46:10,GXS Bank
9,gOoiyc,"What a joke! Nothing happens after you input your phone number - nothing! 

It’ll be so much, and I don’t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?",1,2022-09-08 07:14:48,GXS Bank
103,Kidaddictedtofacebook,Best get back to the drawing board. Design thinking  forget about the  many “dumb” users out there including me.,1,2022-09-06 23:39:37,GXS Bank
27,VivianARPC,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,2,2022-09-06 17:57:25,GXS Bank
