,UserName,Review,Score,Date,Bank
0,Anna Y,"Love the function of having multiple pockets as it helps me to track each target accordingly. Thank you for the genius allocation! Would have given 4.5 if there was, with the 0.5 hoping for unlimited numbers of pockets. :"")",4,2024-03-06 04:14:17,GXS Bank
1,Jia Hong,Quick transfers to bank acc and fast repayments. Very suitable for short term loans,5,2024-03-06 01:39:11,GXS Bank
2,E,"A feature they should implement is to save your recipients which you FAST to, makes it a lot safer as it prevents mistaken sending of funds to unintended recipients after the 1st transfer.",3,2024-03-04 04:23:26,GXS Bank
3,Baggio Pan,Ok Good system.,5,2024-03-01 09:52:59,GXS Bank
4,VELAN Ram,good :thumbs_up:,3,2024-02-24 05:22:26,GXS Bank
5,Yusri Wagiman,Can not open,1,2024-02-24 03:52:03,GXS Bank
6,Aaro,Hi any chance for foreign to apply? Im work at sg,1,2024-02-18 12:20:44,GXS Bank
7,Sky Koh,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!",1,2024-02-14 09:10:02,GXS Bank
8,Faizal Mohamed (Pekjalfaizal),:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,5,2024-02-09 04:20:07,GXS Bank
9,Nad N,"Been using this bank for a while now and didn't face any major problems. What I enjoyed the most is the saving pockets area where we could create different pockets for each saving we want to do and even add goals into it. The 2.68% per annum is added daily (0.01) as long as you have a minimum of 150 in your savings. If not, you'll have to wait till your it accumulates up to 0.01 to be added. There was also cashback when you make payment using the card which I didn't know till recently.",5,2024-02-07 17:52:38,GXS Bank
10,Jas WJ,"Great app that can park your savings using pockets, but hopefully the interest rate of the savings pockets will increase due to the current economic conditions",4,2024-01-26 06:43:30,GXS Bank
11,Benjamin Tan,"Unable to login or use the forgot password function. System only replied with ""something wrong please try again later"" Now I was told I must wait for the next version of app to be rolled out progressively before I can login. Hopefully won't take too long",1,2024-01-25 13:30:51,GXS Bank
12,Adha Malek,:thumbs_up::thumbs_up::thumbs_up::thumbs_up:,5,2024-01-15 16:47:46,GXS Bank
