,UserName,Review,Score,Date,Bank
0,Liu,"Easy to sign up, but what use is a bank without a debit card? Maribank needs to develop its debit card function otherwise it is a useless app.",2,2024-03-06 05:04:06,Maribank
1,Kevin Tan,Adding the ability to add payees before actual transfer would be appreciated.,4,2024-03-02 17:39:59,Maribank
2,Xavier,"After using over 10 digital banking apps, this is the simplest, most user friendly and best banking app at the moment, 2.88% compounded daily. What more can you possibly ask for?",5,2024-02-29 14:49:40,Maribank
3,Joseph Goh,where the hell is my password manager... isnt it simple to literally just support normal keyboards instead of creating your own....,1,2024-02-29 12:43:13,Maribank
4,YJ,"Very simple and easy to use, I prefer it over my other bank apps which are confusing haha",5,2024-02-24 16:41:35,Maribank
5,Deepak Dhondge,Very nice qpp,5,2024-02-20 08:56:45,Maribank
6,Kevin,"Only allow Singaporean and PR, customer service very bad",1,2024-02-20 00:40:14,Maribank
7,Lim Kino,"Rubbish app,only accept singapore citizenship and PR. Please don't copy and paste reply",1,2024-02-17 15:35:28,Maribank
8,irfa shafinaz,Stupid app don't waste your time.,1,2024-02-13 14:37:14,Maribank
9,KH Sim,Account opening takes at least 1 to 2 working days even though I have verified my identity using SingPass.,1,2024-02-12 13:57:05,Maribank
10,Kwok Kim Huat,"I applied again for invest account, and system mentioned application under review. This time, bank don't call at all for whole 2 days, so no result known. After checking via Google, I found that your main customers are those business owners or SMEs and not individual normal peasant like us. No wonder you don't call. So please don't bother to call anymore, since already more than 2 days, considered game over for me. I won't be picking your calls anyway, hmhmhm...",1,2024-02-02 12:16:45,Maribank
11,Mi Hui Wong,Cant install on Android.......,1,2024-01-25 11:35:40,Maribank
12,Sim Siam Yong,Have been using MariBank app for a few months. Easy to use and so far so good.,5,2024-01-25 08:18:43,Maribank
13,Lara Isabella,Mwoth for sa BBnwoth gor i anjing Worth to banking,5,2024-01-25 00:19:32,Maribank
14,D Z,"APP is NOT SECURE. My security software flagged your app as a low reputation app as it can ""1. Trigger installation - this app can ask Android to install another app. 2. Change network state - this app can change network connectivity state"" This means that your app can turn on our network to download an app without our knowledge. Why are these even needed when all other banking apps do not need to have these? Please REMOVE TRIGGER INSTALLATION & CHANGE NETWORK STATE. Thank you very much.",2,2024-01-16 12:51:00,Maribank
15,Nicholas Tung Kai Sheng,"Suddenly couldn't access my app, called customer service told me that internal department will call me back 3 days, 3 days later tells me that internal department have been informed but can't give any specific timeline. Goodness, thank god the customer service is patient and nice but I think shutting down customer access out of the blue without informing is no go.",1,2024-01-11 13:06:27,Maribank
16,D,Account application unsuccessful. Waste of time!,1,2024-01-11 10:05:17,Maribank
17,Yann Lim,"Wasted so much of my time! App has bugs keep looping in circle when trying to activate link to shopee. Call Customer Service, very polite, but couldn't offer any help, but said will escalate my email request and to expect a response in a day's time... Still waiting...waiting. Very poor support. Over promise, under deliver. 6Jan Update: When I was asked to email in, made to wait 3 days.. I expect a sensible resolution, then a mere reply saying can't reach me with only a single phone call at 9pm!!",1,2024-01-05 23:08:31,Maribank
18,Sean,"EP SP WP no need to try, this only for Singapore citizens & PR.",1,2023-12-27 23:48:53,Maribank
19,MD Imran,Nice app,5,2023-12-24 04:22:01,Maribank
20,Jai GMAIL,16 password character too short,1,2023-12-22 10:05:58,Maribank
21,Jason Lim,"Not working properly. After many attempts to setup an business account, the app just gets struck even after contacting customer service various times with different rememdies still unable to resolve.",1,2023-12-21 04:23:07,Maribank
22,soccer messi,Maribank have offer 2.88 for accured interest daily. Hope for a 3 percentage interest rate after next year March. Will continue to support and hope to see 3% mari bank saving daily that will attract us to park our money.,5,2023-12-13 05:20:43,Maribank
23,Jeff Khoo,App works well. Easy to register and connect with my Shoppee account.,5,2023-12-12 07:55:52,Maribank
24,Jes,Rubbish app. Face scan always fail. Wasting time to even try.,1,2023-12-12 02:56:38,Maribank
25,kauser COM,Good.,5,2023-12-05 22:36:48,Maribank
26,Fynn Neo,So far ok but need DARK MODE PLEASE.,3,2023-12-04 23:41:36,Maribank
