UserName,Review,Score,Date,Bank
Kaylene Ho,Worst bank to have a credit card with.,1,2024-03-07 17:42:15,Trust
Increadible Jade,"I’ve tried to make payments via QR codes many times at many stores with many different QR codes and they were all failed. The error shown is invalid QR although I can successfully make payment via the same QR code with DBS. Dear tech team, please please fix this asap!",1,2024-03-07 16:54:18,Trust
Suet said,Great,3,2024-03-07 02:20:32,Trust
SKT yes,Fast n easy,4,2024-03-03 11:17:29,Trust
Arr1808,"Don’t believe them if they say they’ll contact you. The agents also don’t seem to know how to help you, they can’t tell you what’s the issue.",1,2024-03-03 00:49:53,Trust
pmkpillai76,Still long time pending request as future dated schedule payment option -please consider as it helps to pre plan the payment -please consider as keep asking long time same request,4,2024-02-23 03:09:28,Trust
living888,Application pending status for a long time. It’s been over an hour. I called customer service & was told they can’t do anything as it’s up to the internal team & that NORMAL approval process can take 3 mins up to 5 working days!!! There seems to be inconsistencies coz my friends said their application was approved immediately within minutes even when they applied it on a public holiday at night. I’m really disappointed. Don’t even feel like signing up now.,1,2024-02-15 15:16:29,Trust
abdyt671,"Double transaction on the same purchase. Yet they can’t understand what is happen. How can my savings account be negative and they say is correct. Horrible. Customer service still think I am wrong. Hopeless. Stick to traditional bank, as least can get proper help!",1,2024-02-13 04:23:13,Trust
LDS Guy,I haven’t seen a signup process so easy as the one of Trust bank.,5,2024-02-08 09:38:20,Trust
wonderwoman_sg2020,I love the new design. Super clean and faster than before. Keep it up!,5,2024-02-07 13:39:11,Trust
joellprieto,The payment notification approval does not say anything about what to approve what amount which merchant...a very dangerous feature...especially with card hijacking.,5,2024-01-28 23:46:32,Trust
xxivk19,"Easy to use interface with a lot of rewards. Would recommend to anyone who is looking for a digital bank that rewards users. 

Use my code 5G8EMX3J if needed. Thanks!",5,2024-01-27 12:50:40,Trust
Iirii***,Coupons issued but unable to use it.,1,2024-01-24 04:22:36,Trust
ngtk,I am glad you don’t resort to faking your 5* review using your staff like a competing bank. Keep up the good work,5,2024-01-18 10:44:49,Trust
XevLim,This banking app is so much better than traditional banks. Used to have privilege banking but cancelled credit card with them due to absurd annual fees and have to go through hassle of calling them for other services. Trust app support is tip top with instant response online. Rewards and vouchers are clearly organised and easily redeemable. Only thing is credit card does not look as good but that’s just aesthetics. Keep up the good work and service!!!,5,2024-01-18 01:44:06,Trust
Buibui1990,I registered 1 month already but no already reply me,1,2024-01-17 03:13:09,Trust
Being Human is easy,"Totally disappointed with the app, system and their service. 
Twice i had to delete and reinstall otherwise the card is unable to use 
Got stuck twice at the supermarket because of this issue",1,2024-01-13 05:09:59,Trust
Dylan Drake,Perfect banking experience,5,2024-01-05 05:22:45,Trust
Wwwsxy,First apply show missing residental address.second time apply show phone number invalid :hot_face:,1,2024-01-05 02:34:57,Trust
shxjckens,What’s the point of a digital bank if you do not have an immediate response team? We trust you with handling our money but you take so long to unlock our accounts. I have a family to feed but all my money is in my locked account. This is a breach and should be reported to higher authorities.,1,2024-01-05 02:29:25,Trust
NH3H2O2,"After tapping on notification cards triggered by Trust app, it merely launches the app and displays landing page; it should show the notification that user tapped on. Failed user experience!",3,2024-01-04 12:41:32,Trust
Krisclc,many voucher to use,5,2024-01-03 06:32:07,Trust
Ｓｕｙｉ,"My account was locked as there is multiple tries of passcode. I call the number and told him saying that my account was lock and I had even tried to press the forget passcode. However, the Singpass web page can’t load out. I told him all this, and he say you can only ask the Singpass to resolve this. Bro, the app say can have assistance or even can help to unlock. What can I do if everything I tried so unable to solve my problem. Before this lock I feel the app is so nice and can feel how nice it was.",3,2024-01-03 03:52:13,Trust
cod-is-btr,"This app forces you to turn notifications for transactions and rewards which im totally fine with it. However, their definition of rewards includes promotion notifications which is extremely annoying.",3,2024-01-01 01:36:11,Trust
Trustng,Is user friendly. Just spend some time to explore n will b familiar with the app. Thank you for the many perks.,5,2023-12-30 16:16:36,Trust
jordan hor,"When I registered keep showing me something went wrong , please try again later",1,2023-12-28 03:24:27,Trust
Fishballfishball,Good services provided,5,2023-12-25 09:53:51,Trust
lost_memories,Many friends had good experiences with this card and functions. I signed up during the recent promo and got my ntuc voucher. Easy to sign up and use. Happy to recommend to friends.,5,2023-12-24 09:20:53,Trust
theenkin,Nice and neat and getting improvement from time to time,5,2023-12-23 04:56:27,Trust
