id,UserName,Review,Score,Date,Bank
1,Tiny Particles,The app is easy to navigate and optimise for people of all ages.,5,25/2/2024 7:24,GXS Bank
2,HetTienDownGameBanQuyen,"Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",1,24/2/2024 6:12,GXS Bank
3,Nrhdxtan,Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,1,21/2/2024 14:03,GXS Bank
4,OnTheRoad9988,This app is easy to use.,5,10/2/2024 3:22,GXS Bank
5,princesstazsdff,"When you asked your staff to write a 5* review, don’t just get them to write great app, easy to use or hurray. Write how did the app help you, how you benefit from the app and why the app is soooo good?",1,18/1/2024 8:45,GXS Bank
6,CodyFido69,Is this really an authentic app for GXS? Looks cheap.,3,15/1/2024 14:04,GXS Bank
7,Morrrrraaaa,"Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",5,11/1/2024 8:48,GXS Bank
8,???/:;()$,Good to use,5,1/1/2024 9:24,GXS Bank
9,aezjnn,"Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",1,23/12/2023 8:46,GXS Bank
10,RyanYang,Friendly use apps,5,11/12/2023 17:42,GXS Bank
11,C Stephen,"Fair and transparent loans.
Interest is not like the atypical bank that is out to profit and cripple the debtor.",5,10/12/2023 4:26,GXS Bank
12,sgchacha,Guys u guy to try this out,5,9/12/2023 4:06,GXS Bank
13,Agilah07,save ur money and grow,5,7/12/2023 13:07,GXS Bank
14,Adrian Tay wee Chong,"Wish more people can download and use, and more rewards can be given.",5,7/12/2023 7:21,GXS Bank
15,ChefDugi,Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),5,6/12/2023 9:00,GXS Bank
16,GW1188,Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,5,6/12/2023 8:45,GXS Bank
17,Ahmad Firdaus Bin Kasim,Nice And Fast Bank,5,6/12/2023 8:35,GXS Bank
18,mdyyeo,"There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum",5,6/12/2023 8:35,GXS Bank
19,Cccc.S,Good to use,5,6/12/2023 4:22,GXS Bank
20,Roundi07,Gxs provide good interest for their pocket savings.,5,6/12/2023 3:56,GXS Bank
21,Sanadece,This is very good. Really very helpful. I Will keep in touch with them. :OK_hand_medium_skin_tone::smiling_face_with_heart-eyes:,5,3/12/2023 15:49,GXS Bank
22,hackjf,"THIS LITERALLY SAVED ME, i recommendation is high as the giant touches the sky",5,25/11/2023 12:17,GXS Bank
23,Tehweileong,When I sign up can’t sign up always say oops something went wrong please try again,1,23/11/2023 9:53,GXS Bank
24,caseysam_home,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,5,21/11/2023 9:22,GXS Bank
25,Bone Zaw,Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,5,21/11/2023 7:13,GXS Bank
26,calvin7878,Such a great service compared to Bank,5,20/11/2023 8:16,GXS Bank
27,hdmsgekd,Best digital bank in my opinion I prefer this over its competitors:),5,18/11/2023 8:52,GXS Bank
28,MikeEkimC,"GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!",5,16/11/2023 19:29,GXS Bank
