,userName,review,rating,date,Bank
0,felthebest,I liked the idea where its a online bank without the use of card so that the money wont be touched as much. Easy sign up process with good interest rate now!,5,2024-01-06 16:07:27,Maribank
1,gniynew,The onboarding process was really quick and straightforward. Happy that I can start earning a high interest after making a deposit without having to do anything else,5,2023-03-08 11:39:10,Maribank
2,boonnie38,"I have to admit that the process to register is very smooth and easy. It took me less than 10 minutes to complete the investment: Shopee - Download MariBank App- Register Savings account - Top up - invest

Keep it up!",5,2024-01-04 06:21:44,Maribank
3,Elijahdptty,"Finally a mobile banking app that doesn’t lag and bug free. Very good product feature also, no nonsense on fulfilling all the criteria like other banks",5,2023-04-05 16:08:04,Maribank
4,ttyto12,"Overall good and smooth experience, enjoy the ease of use for different products and how everything is clearly stated with no strings attached!",5,2023-10-06 04:29:57,Maribank
5,ngtk,I am so glad you don’t have to resort to fake 5* by staff like a competing bank. Great interest. Love it daily as I see my money grow. Keep up the good work,5,2024-01-18 10:43:33,Maribank
6,LittleTroll,Easy to use and navigate. Everything is laid out right on the screen,5,2023-07-27 13:33:17,Maribank
7,Unlimeg,"It would be good if there is a prompt to allow customers to know that funds will be lock on the weekend for Mari-Invest.

There should be an option to also cancel the investment or alter the amount and not let the funds be stuck. A very bad experience and will no longer keep my funds here.",1,2023-12-09 09:29:10,Maribank
8,97.z,Instant approval and so hassle free to earn decent interest. It’s a joy to watch my daily interest grow. Love it!,5,2023-03-09 15:30:23,Maribank
9,DDYY1990,"Simple and good interest rate, no string attached, you get what is promised unlike other banks…",5,2023-03-17 07:33:14,Maribank
10,Fatin :),I love this digital banking app! Making transfers are seamless and it good to see my interest rate grow daily!,5,2023-03-08 07:02:44,Maribank
11,eric9152007,"Very easy to use, simple and fast",5,2023-08-19 03:31:45,Maribank
12,Peaksky,"Experience is good, need more products for investment.",5,2023-06-05 05:27:47,Maribank
13,Fortune God 888,App is so easy to navigate and user friendly,5,2023-03-08 06:58:13,Maribank
14,Yycraven,MariBank App is easy to use. Recommended.,5,2023-03-31 03:26:16,Maribank
15,Abijouni,They claim most account opening is immediate. Contacted them via their hotline and help desk. Not true. Takes rather long making it uncompetitive. Makes me doubt their efficiency. As it does not serve it’s purpose in good time I’ll be deleting it.,1,2023-11-27 06:27:00,Maribank
16,Efa Mendez,Easy and straight forward app!,5,2023-03-08 06:57:15,Maribank
17,Lilian8855646949,good job :thumbs_up_light_skin_tone:,5,2023-08-30 07:57:48,Maribank
18,Momoninipopo,Be prepared to be blinded by the crazy lights face verification. Also it will fail and you will end up using another bank’s credit card. Cheers.,1,2023-11-14 15:51:54,Maribank
19,jeronetan,1-2 days to process account opening for a local. All local banks digital or not is immediate with Singpass. Not a good start.,1,2023-08-26 10:49:26,Maribank
20,dominiThree,not working,1,2023-08-23 14:29:16,Maribank
