,UserName,Review,Score,Date,Bank
0,Mohannad Ibrahim,The best online bank,5,2024-03-26 09:45:39,Revolut
1,Josh Silence,Works great for everything financially when you need to exchange currency,5,2024-03-26 09:34:34,Revolut
2,Indranil Das,great app,5,2024-03-26 08:43:58,Revolut
3,Jim N,"app keeps saying crashed even when i have forced closed it, getting stopped working warnings every 15 mins cant use my phone without uninstalling it. someone needs to lose their job",5,2024-03-26 08:16:26,Revolut
4,Paria Karimi,Perfetta,5,2024-03-26 06:52:45,Revolut
5,S Malik,Good app but they don't give loan or credit to existing users unfortunately,3,2024-03-26 06:18:58,Revolut
6,doru circu,"the best way to transfer money,and to have more accounts",5,2024-03-26 05:59:43,Revolut
7,Xypleth,"Nice, all is great and working stably",5,2024-03-26 05:55:11,Revolut
8,Patrick Stack O'Neill,I like the summary of spending amounts and balance. With children abroad transferring funds is quick and easy.,5,2024-03-26 05:44:18,Revolut
9,Thomas Craig,So far so good,5,2024-03-26 05:43:27,Revolut
10,Laxmi Prasad Ghimire,"For the esim, there's not enough country. I need esim for Nepal. And :Nepal: Nepal is not listed on its esim countries.",1,2024-03-26 05:11:30,Revolut
11,Mohammad Yousuf,User friendly application system and Bank also. Thanks to Revolut for user friendly service,5,2024-03-26 05:04:27,Revolut
12,Mārtiņš Lasmanis,"Revolut cant explain how other person can add your card without authorization to google pay/apple pay and use in other countries, when card and phone with app is in other. Revolut isnt a bank, will not help to refund money. Its not 100% safe. Can google for more and more cases like my. So think 2 times if you are ready to risk with your money. They have so many complains that Revolut will answer in 15 business days to your complanes :)",1,2024-03-26 04:51:27,Revolut
13,Carmelo,"They keep asking for an additional Tax ID even though I already provided the right one. Opened 2 tickets, they told me it was fixed and still receiving the same pop up mentioning my account will be frozen in May if I don't fix this. Horrible service. Better alternatives.",1,2024-03-26 04:49:15,Revolut
14,M,Easy to use,5,2024-03-26 04:34:25,Revolut
15,ah180168,Excellent,5,2024-03-26 04:28:49,Revolut
16,Lord Jhezhi,it seems not to work in my area can't create an account they wont send a verification code i changed phone and number still the same,1,2024-03-26 04:20:30,Revolut
17,Dragos,Fake bank,1,2024-03-26 03:39:09,Revolut
18,Azar 525,Gut,4,2024-03-26 03:35:45,Revolut
19,Aidana Kassymova,Good service,5,2024-03-26 03:16:20,Revolut
20,Valeria Lomtatidze,"How many times am I supposed to submit my Tax ID number?! It's not that I have it with me all the time to keep reassuring your system that nothing changed... please do not lose data that you have already asked for. Very inconvenient. Overall, I could not find a better bank. The most practical of all",4,2024-03-26 03:02:10,Revolut
21,Jackie starrs,Brilliant,5,2024-03-26 02:40:13,Revolut
22,Serg Paulo,Just fantastic :smiling_face_with_heart-eyes:,5,2024-03-26 02:20:35,Revolut
23,Thelma Rocha,"So far, so good.",5,2024-03-26 02:15:32,Revolut
24,Kit Kat,It withdrew money for several months for premium subscription although I never subscribed. And then I had to pay 2 months' subscription just to unsubscribe!,1,2024-03-26 01:46:11,Revolut
25,Bernadette Cotter,lots of problems. appwont ope for ages and or not at all l can't use it!!!!,1,2024-03-26 01:17:22,Revolut
26,Ana Pestana,Awesome app love the exchange rate prices,5,2024-03-26 01:15:57,Revolut
27,Igor Mezeckis,"4 years, no issues, totally satisfied",5,2024-03-26 01:04:02,Revolut
28,Graham,Very useful travelling tool,5,2024-03-26 01:00:42,Revolut
29,Irina Volmer,Best and easy app,5,2024-03-26 00:58:36,Revolut
30,Truseno Neely,Awesome app,5,2024-03-26 00:55:43,Revolut
31,Tracey Germon,Good,4,2024-03-26 00:41:25,Revolut
32,Ivan Juresko,"After updating the app - terrible investing charts, both on crypto and stock/etf. Not terrible, totally WRONG indication of value. Fix this ASAP.",3,2024-03-26 00:40:33,Revolut
33,Lukáš Ralidiak,Clicked 3 months free premium but got billed in 1 click. Very dishonest Ps: you really make me check periodically if i left lowest possible rating Pps: no im not going in for a chat. I would be much more happy if you accepted my cards or worked with my other accounts,1,2024-03-26 00:40:06,Revolut
34,Anti Manni,I don't like that i cannot know the reason for my account blocking.,4,2024-03-26 00:28:41,Revolut
35,Katerina Ioannou,ery useful,4,2024-03-26 00:20:38,Revolut
36,Bianca Svarstad,I love it!,5,2024-03-26 00:18:14,Revolut
37,Clare Gallagher,"Very useful for doing quick financial transactions. Easy to use, and great for setting up separate pots of monies for different things.",5,2024-03-26 00:08:59,Revolut
38,ginger pro,Great,5,2024-03-26 00:04:50,Revolut
39,Simon M.,Excellent experience,5,2024-03-26 00:02:14,Revolut
